,TFs,rss_scores,cellgroup,CSI_group,gene,avg_log2FC
63,MYBL1(+),0.226720163798722,CN:Mic_re,M3,MYBL1,0
86,RXRB(+),0.208000772107169,CN:Mic_re,M2,RXRB,0
77,RELA(+),0.197286788026312,CN:Mic_re,M2,RELA,0
70,PBX1(+),0.195931116507869,CN:Mic_re,M2,PBX1,-1.067851776
10,BCL6(+),0.19561276637758,CN:Mic_re,M2,BCL6,0
7,BCL11A(+),0.194418658188361,CN:Mic_re,M2,BCL11A,0
67,NFIB(+),0.19413655393676,CN:Mic_re,M2,NFIB,-0.478160029
71,PKNOX2(+),0.194025868485767,CN:Mic_re,M2,PKNOX2,0
1,ARNT2(+),0.192333719479761,CN:Mic_re,M2,ARNT2,-0.905676259
97,TEAD1(+),0.190586236602378,CN:Mic_re,M2,TEAD1,0
91,SMAD1(+),0.189229899261274,CN:Mic_re,M2,SMAD1,0
80,RFX4(+),0.185279534744901,CN:Mic_re,M2,RFX4,0
110,ZNF134(+),0.182375159330974,CN:Mic_re,M2,ZNF134,0
114,ZNF30(+),0.180889931145424,CN:Mic_re,M3,ZNF30,0
102,THRB(+),0.180405896329813,CN:Mic_re,M2,THRB,-1.421465059
75,RARB(+),0.180362841817896,CN:Mic_re,M2,RARB,0
33,ETV4(+),0.179977162197143,CN:Mic_re,M2,ETV4,0
88,SATB2(+),0.179197300437279,CN:Mic_re,M2,SATB2,-1.719944034
95,TBP(+),0.178579572954134,CN:Mic_re,M2,TBP,0
85,RUNX3(+),0.178572018249903,CN:Mic_re,M2,RUNX3,0
68,NFKB1(+),0.204560969862293,CN:Mic_in,M2,NFKB1,-0.639614562
23,EGR2(+),0.175334664384988,CN:Mic_in,M1,EGR2,0
24,EGR3(+),0.173373791056592,CN:Mic_in,M1,EGR3,0
20,EGR1(+),0.167512900788235,CN:Mic_in,M1,EGR1,0
32,ETS2(+),0.167366193974356,CN:Mic_in,M1,ETS2,0
55,KLF4(+),0.166797313318824,CN:Mic_in,M1,KLF4,0
53,JUND(+),0.16533055467163,CN:Mic_in,M2,JUND,0
18,DEAF1(+),0.163359438087751,CN:Mic_in,M1,DEAF1,0
98,TEAD1(+),0.163284403482971,CN:Mic_in,M2,TEAD1,0
8,BCL6(+),0.163250925982775,CN:Mic_in,M2,BCL6,0
59,MAFB(+),0.163038232476573,CN:Mic_in,M2,MAFB,0
103,THRB(+),0.162746314675444,CN:Mic_in,M2,THRB,-0.906916847
83,RFXANK(+),0.162692956051078,CN:Mic_in,M2,RFXANK,0
27,ELF4(+),0.160610417803978,CN:Mic_in,M2,ELF4,0
38,FOSB(+),0.159530479389741,CN:Mic_in,M3,FOSB,0
45,GLI3(+),0.15930485681391,CN:Mic_in,M2,GLI3,0
107,ZBTB33(+),0.158193332472211,CN:Mic_in,M1,ZBTB33,0
116,ZNF316(+),0.157349496684632,CN:Mic_in,M2,ZNF316,0
84,RUNX3(+),0.157153881991926,CN:Mic_in,M2,RUNX3,0
93,SP4(+),0.156926196110317,CN:Mic_in,M1,SP4,0
42,FOXO1(+),0.269967973966945,CN:Mic_ac,M1,FOXO1,0
69,PBX1(+),0.26913096196365,CN:Mic_ac,M2,PBX1,-0.965035542
6,BCL11A(+),0.268257930734859,CN:Mic_ac,M2,BCL11A,-0.651480848
90,SMAD1(+),0.26703560074209,CN:Mic_ac,M2,SMAD1,-0.602595754
66,NFIB(+),0.266545517709068,CN:Mic_ac,M2,NFIB,0
112,ZNF19(+),0.266524467580195,CN:Mic_ac,M2,ZNF19,0
94,SPI1(+),0.265310977172798,CN:Mic_ac,M1,SPI1,0
99,TEAD1(+),0.265011830492726,CN:Mic_ac,M2,TEAD1,-0.724006192
87,SATB2(+),0.264763016606094,CN:Mic_ac,M2,SATB2,-0.960539525
101,THRB(+),0.264186292832856,CN:Mic_ac,M2,THRB,-1.193879468
11,BCL6(+),0.263989476841361,CN:Mic_ac,M2,BCL6,0
79,RFX2(+),0.26370903591401,CN:Mic_ac,M2,RFX2,-0.563716398
74,RARB(+),0.263662796435713,CN:Mic_ac,M2,RARB,-2.126439365
2,ARNT2(+),0.263522740229615,CN:Mic_ac,M2,ARNT2,-0.994650109
57,KLF9(+),0.26346582982534,CN:Mic_ac,M1,KLF9,-0.501903187
106,ZBTB24(+),0.262990054005955,CN:Mic_ac,M1,ZBTB24,0
81,RFX4(+),0.262878160622224,CN:Mic_ac,M2,RFX4,-0.276987243
72,PKNOX2(+),0.262477661319602,CN:Mic_ac,M2,PKNOX2,-1.545907313
61,MEF2A(+),0.261763432535622,CN:Mic_ac,M1,MEF2A,0.467634153
29,ELK3(+),0.261544571830046,CN:Mic_ac,M1,ELK3,0.616691163
5,BACH2(+),0.184587494930956,EP:Mic_re,M3,BACH2,-1.324300274
50,JUN(+),0.181939278666681,EP:Mic_re,M3,JUN,0
16,CEBPD(+),0.180187206974829,EP:Mic_re,M3,CEBPD,3.92243071
13,CEBPB(+),0.178007577169814,EP:Mic_re,M3,CEBPB,1.901488678
36,FOS(+),0.176239389624592,EP:Mic_re,M3,FOS,2.325597894
12,CEBPA(+),0.174054203628523,EP:Mic_re,M1,CEBPA,2.776126548
52,JUNB(+),0.172414101368519,EP:Mic_re,M3,JUNB,0
39,FOSB(+),0.172148947784023,EP:Mic_re,M3,FOSB,0
30,EMX2(+),0.172086457608274,EP:Mic_re,M1,EMX2,0
47,IKZF3(+),0.171955522213551,EP:Mic_re,M1,IKZF3,0
64,MYBL1(+),0.171365256695531,EP:Mic_re,M3,MYBL1,0
115,ZNF30(+),0.170976336127528,EP:Mic_re,M3,ZNF30,0
120,ZNF778(+),0.170573321241055,EP:Mic_re,M3,ZNF778,0
73,PURA(+),0.169041028771616,EP:Mic_re,M1,PURA,0.436651
117,ZNF449(+),0.167661981865378,EP:Mic_re,M3,ZNF449,0
113,ZNF26(+),0.167661452770868,EP:Mic_re,M3,ZNF26,0
44,GABPA(+),0.167036570546238,EP:Mic_re,M1,GABPA,0
100,THAP11(+),0.166767523129559,EP:Mic_re,M3,THAP11,0
4,ATF3(+),0.166150865011539,EP:Mic_re,M3,ATF3,0
26,ELF4(+),0.165656292127535,EP:Mic_re,M2,ELF4,0
31,ETS2(+),0.153222580063691,EP:Mic_in,M1,ETS2,0
60,MAFB(+),0.149217069515066,EP:Mic_in,M2,MAFB,0
82,RFXANK(+),0.145574041689175,EP:Mic_in,M2,RFXANK,0
14,CEBPB(+),0.142900379250947,EP:Mic_in,M3,CEBPB,1.191187009
17,DDIT3(+),0.138692903511549,EP:Mic_in,M1,DDIT3,0
40,FOSB(+),0.137435092757832,EP:Mic_in,M3,FOSB,0
21,EGR1(+),0.136514541159619,EP:Mic_in,M1,EGR1,0
25,EGR3(+),0.13535142424526,EP:Mic_in,M1,EGR3,0
3,ATF3(+),0.134874760707655,EP:Mic_in,M3,ATF3,0
22,EGR2(+),0.134492453358994,EP:Mic_in,M1,EGR2,0
15,CEBPD(+),0.133884808352701,EP:Mic_in,M3,CEBPD,2.991183852
56,KLF4(+),0.133317409667664,EP:Mic_in,M1,KLF4,0
37,FOS(+),0.133241034200882,EP:Mic_in,M3,FOS,1.932026292
19,E2F3(+),0.130418288144495,EP:Mic_in,M1,E2F3,0
51,JUNB(+),0.129819076830032,EP:Mic_in,M3,JUNB,0
