"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ENTREZID","BP","GO:0050804","modulation of chemical synaptic transmission","25/139","493/18888",0.050709939148073,6.89071460884031,11.4114644596845,2.21460038158231e-14,2.37563874390749e-11,1.9612398661526e-11,"HOMER1/AKAP12/PLCB1/SLC24A2/SHISA6/CACNA1A/PLCL1/GRID2/GRM5/GRIN2A/GRM7/EPHB1/SORCS2/GRIA4/RIMS2/NLGN1/GRID1/GRIA2/SYNE1/DLGAP1/TRIO/PTPRD/CPEB3/NRXN1/STXBP5",25
"ENTREZID","BP","GO:0099177","regulation of trans-synaptic signaling","25/139","494/18888",0.0506072874493927,6.87676579384266,11.3962928905792,2.31882747087115e-14,2.37563874390749e-11,1.9612398661526e-11,"HOMER1/AKAP12/PLCB1/SLC24A2/SHISA6/CACNA1A/PLCL1/GRID2/GRM5/GRIN2A/GRM7/EPHB1/SORCS2/GRIA4/RIMS2/NLGN1/GRID1/GRIA2/SYNE1/DLGAP1/TRIO/PTPRD/CPEB3/NRXN1/STXBP5",25
"ENTREZID","BP","GO:0007215","glutamate receptor signaling pathway","10/139","50/18888",0.2,27.1769784172662,15.9583121792009,2.68429719406467e-12,1.83337498354617e-09,1.51356687398664e-09,"HOMER1/PLCB1/GRID2/GRM5/GRIN2A/GRM7/GRIA4/GRID1/GRIA2/GNAQ",10
"ENTREZID","BP","GO:0042391","regulation of membrane potential","21/139","446/18888",0.047085201793722,6.39816756460303,9.93366746452063,1.32800374309271e-11,6.80269917399242e-09,5.61605793460523e-09,"KCNQ5/GRID2/CACNB2/GRM5/GRIN2A/SLC8A1/RYR2/ANK3/FGF12/GRIA4/RIMS2/NLGN1/STOX1/GRID1/GRIA2/SYNE1/DMD/KCNMA1/SLC4A4/NRXN1/GNAQ",21
"ENTREZID","BP","GO:1901888","regulation of cell junction assembly","14/139","215/18888",0.0651162790697674,8.84831855445876,9.96526011827502,6.7184107607631e-10,2.434182122854e-07,2.00957112400215e-07,"EFNA5/FLRT2/IL1RAPL1/LRFN5/GRID2/LINGO2/LIMCH1/EPHB1/CNTNAP2/NLGN1/ROBO2/PTPRD/MACF1/NRXN1",14
"ENTREZID","BP","GO:0051965","positive regulation of synapse assembly","9/139","63/18888",0.142857142857143,19.4121274409044,12.6039476381965,8.23889623176489e-10,2.434182122854e-07,2.00957112400215e-07,"EFNA5/FLRT2/IL1RAPL1/GRID2/LINGO2/EPHB1/NLGN1/PTPRD/NRXN1",9
"ENTREZID","BP","GO:0051963","regulation of synapse assembly","11/139","115/18888",0.0956521739130435,12.9976853299969,11.1116712305057,8.52234503329423e-10,2.434182122854e-07,2.00957112400215e-07,"EFNA5/FLRT2/IL1RAPL1/LRFN5/GRID2/LINGO2/EPHB1/NLGN1/ROBO2/PTPRD/NRXN1",11
"ENTREZID","BP","GO:0034329","cell junction assembly","19/139","453/18888",0.0419426048565121,5.69936633474677,8.71699239618254,9.50388334935676e-10,2.434182122854e-07,2.00957112400215e-07,"EFNA5/FLRT2/IL1RAPL1/LRFN5/GRID2/KIRREL3/LINGO2/LIMCH1/EPHB1/CNTNAP2/NLGN1/DSCAM/ROBO2/PTPRD/ARHGEF7/MACF1/NRXN1/DST/CDH4",19
"ENTREZID","BP","GO:0050808","synapse organization","19/139","493/18888",0.0385395537525355,5.23694310271864,8.20778612527243,3.82758837552422e-09,8.63569574489906e-07,7.12931240505139e-07,"HOMER1/EFNA5/FLRT2/SHISA6/IL1RAPL1/LRFN5/GRID2/CACNB2/KIRREL3/GRM5/LINGO2/ANK3/EPHB1/NLGN1/DSCAM/ROBO2/GRID1/PTPRD/NRXN1",19
"ENTREZID","BP","GO:0051962","positive regulation of nervous system development","15/139","294/18888",0.0510204081632653,6.93290265746586,8.8278370987177,4.61950750964325e-09,8.63569574489906e-07,7.12931240505139e-07,"EFNA5/FLRT2/IL1RAPL1/GRID2/GRM5/LINGO2/EPHB1/NLGN1/DSCAM/ROBO2/GLI3/PTPRD/MACF1/NRXN1/CDH4",15
