"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC073941.1",3.86821201923098e-201,4.90214025577905,0.393,0.019,1.41580428115873e-196,"Ast_ac","AC073941.1"
"LINC01411",8.95998219394588e-243,4.48129280962324,0.522,0.043,3.27944308280613e-238,"Ast_ac","LINC01411"
"LINC00836",3.7892753701124e-156,4.47772208695821,0.299,0.011,1.38691267821484e-151,"Ast_ac","LINC00836"
"AC012405.1",0,4.47010914830241,0.647,0.053,0,"Ast_ac","AC012405.1"
"USH1C",1.53034924566817e-168,4.41131947407044,0.352,0.02,5.60123127407008e-164,"Ast_ac","USH1C"
"TNC",9.98021497780943e-318,4.40154001531828,0.669,0.062,3.65285848402803e-313,"Ast_ac","TNC"
"LINC01094",1.72105934510438e-208,4.18529096328826,0.515,0.13,6.29924930901653e-204,"Ast_ac","LINC01094"
"DEC1",1.58219981077431e-174,4.1824419847055,0.396,0.03,5.79100952741504e-170,"Ast_ac","DEC1"
"LINC01515",6.79495754258963e-173,4.05767851199961,0.406,0.035,2.48702241016323e-168,"Ast_ac","LINC01515"
"SLC38A1",1.60289981869972e-281,4.02441346184343,0.635,0.082,5.86677362642284e-277,"Ast_ac","SLC38A1"
"ID3",2.40380706658222e-125,3.87096229726205,0.286,0.018,8.79817424439759e-121,"Ast_ac","ID3"
"CFAP47",2.01681030301479e-205,3.8395797818017,0.513,0.066,7.38172739006442e-201,"Ast_ac","CFAP47"
"SERPINI21",2.14219781373199e-230,3.72511880051795,0.554,0.077,7.84065821804044e-226,"Ast_ac","SERPINI2"
"WDR491",6.30101652770712e-301,3.66475912434982,0.694,0.115,2.30623505930608e-296,"Ast_ac","WDR49"
"LMO2",1.11935036909195e-153,3.65527398698121,0.419,0.058,4.09693428591344e-149,"Ast_ac","LMO2"
"GALNT15",6.94603492218601e-92,3.56155932369563,0.27,0.036,2.5423182418693e-87,"Ast_ac","GALNT15"
"GUCY1A1",8.47438804038687e-132,3.54348975323303,0.37,0.045,3.101710766662e-127,"Ast_ac","GUCY1A1"
"SPARC",8.81083697627874e-130,3.48454283726312,0.358,0.041,3.22485444168778e-125,"Ast_ac","SPARC"
"AC093610.1",4.09414182108413e-160,3.4831937089401,0.437,0.052,1.498496847935e-155,"Ast_ac","AC093610.1"
"VCAN",7.18999902349791e-269,3.44289615354348,0.691,0.145,2.63161154259047e-264,"Ast_ac","VCAN"
"SMAD9",3.73077458577363e-170,3.38269834604172,0.456,0.051,1.36550080613901e-165,"Ast_ac","SMAD9"
"DPP10-AS31",3.28770078376482e-210,3.34242234872841,0.579,0.081,1.20333136386576e-205,"Ast_ac","DPP10-AS3"
"GEM",4.98475222397347e-97,3.30444109457002,0.342,0.082,1.82446916149653e-92,"Ast_ac","GEM"
"HSPB8",2.76492420881012e-121,3.11267099802657,0.411,0.106,1.01198990966659e-116,"Ast_ac","HSPB8"
"CD441",3.36945782979222e-129,3.07089351246346,0.434,0.083,1.23325526028225e-124,"Ast_ac","CD44"
"ANGPT1",2.30319915742634e-90,3.06927011787719,0.305,0.05,8.42993923609614e-86,"Ast_ac","ANGPT1"
"DPP10-AS1",7.01991169962544e-103,3.0450162359503,0.343,0.054,2.56935788117991e-98,"Ast_ac","DPP10-AS1"
"EGR1",1.34864441627898e-78,2.89054258261871,0.287,0.048,4.9361734280227e-74,"Ast_ac","EGR1"
"LINC01088",1.37263901201674e-77,2.85083401457586,0.314,0.071,5.02399604788246e-73,"Ast_ac","LINC01088"
"DPP101",0,2.80323088270603,1,0.893,0,"Ast_ac","DPP10"
"PLCE11",1.06686432149623e-189,2.79825466181737,0.617,0.137,3.90483010310835e-185,"Ast_ac","PLCE1"
"LINC02814",6.33991040792483e-76,2.75065594390709,0.298,0.056,2.32047060840457e-71,"Ast_ac","LINC02814"
"OSGIN2",2.56513856905347e-104,2.72125316346892,0.425,0.109,9.38866367659259e-100,"Ast_ac","OSGIN2"
"TJP21",2.38402107946643e-148,2.64443606358997,0.559,0.16,8.72575555295507e-144,"Ast_ac","TJP2"
"LINC00609",6.76360614908575e-189,2.64296880425838,0.65,0.275,2.47554748662687e-184,"Ast_ac","LINC00609"
"AC079298.3",3.35826294770629e-85,2.55775728473598,0.359,0.085,1.22915782148998e-80,"Ast_ac","AC079298.3"
"VWCE",1.58363430307478e-64,2.51054128675448,0.29,0.068,5.796259912684e-60,"Ast_ac","VWCE"
"FOS",1.41768820513561e-92,2.50711799624402,0.406,0.104,5.18888059961686e-88,"Ast_ac","FOS"
"RIPK2",2.38380752683973e-54,2.49391830618851,0.262,0.068,8.72497392898611e-50,"Ast_ac","RIPK2"
"DCLK11",2.5260131616471e-194,2.40465934443871,0.802,0.419,9.24546077294456e-190,"Ast_ac","DCLK1"
"KCNN2",1.85645957864817e-90,2.39207208224551,0.425,0.124,6.79482770381017e-86,"Ast_ac","KCNN2"
"SEMA5A",6.92600168478816e-69,2.38704669641554,0.345,0.102,2.53498587664931e-64,"Ast_ac","SEMA5A"
"CREB5",2.24007753145471e-73,2.33836177979328,0.412,0.157,8.1989077728774e-69,"Ast_ac","CREB5"
"ABCC4",1.94495964649661e-75,2.33328011341976,0.371,0.1,7.11874680214225e-71,"Ast_ac","ABCC4"
"LMNTD1",2.38153051436355e-67,2.33162531184715,0.342,0.102,8.71663983562204e-63,"Ast_ac","LMNTD1"
"GFAP1",1.30075989805577e-196,2.32799973470627,0.826,0.306,4.76091130287393e-192,"Ast_ac","GFAP"
"ELN",2.08585649666344e-60,2.32673765113036,0.287,0.067,7.63444336343786e-56,"Ast_ac","ELN"
"ADAMTS91",3.00025950692868e-94,2.27074249599544,0.474,0.147,1.09812498213097e-89,"Ast_ac","ADAMTS9"
"JUN",5.82765156466515e-66,2.26387247045851,0.355,0.113,2.13297874918309e-61,"Ast_ac","JUN"
"PDLIM3",4.54304266331426e-63,2.25093705311293,0.358,0.157,1.66279904519965e-58,"Ast_ac","PDLIM3"
