"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","Ast_ac","Ast_ac","GO:0048843","negative regulation of axon extension involved in axon guidance","5/153","28/18888",0.178571428571429,22.0448179271709,10.070561849,2.76187474754827e-06,0.00376578183953048,0.00331581222069728,"10371/7869/9037/57556/80031",5
"2","Ast_ac","Ast_ac","GO:0001667","ameboidal-type cell migration","16/153","498/18888",0.0321285140562249,3.96629655878416,6.06231825019388,2.96751918008706e-06,0.00376578183953048,0.00331581222069728,"56999/183/284/84159/1512/23500/3691/5339/10371/7869/9037/57556/80031/6678/7114/7763",16
"6","Ast_ac","Ast_ac","GO:1990138","neuron projection extension","9/153","177/18888",0.0508474576271186,6.27716849451645,6.37440204330156,1.42558913932498e-05,0.00603024205934469,0.00530969428559113,"9201/81565/6285/10371/7869/9037/57556/80031/6456",9
"7","Ast_ac","Ast_ac","GO:0016126","sterol biosynthetic process","6/153","67/18888",0.0895522388059701,11.0553116769096,7.45095512022429,1.70035716025706e-05,0.00616500924676061,0.00542835827251992,"1595/3157/3422/3638/6307/51422",6
"8","Ast_ac","Ast_ac","GO:0048588","developmental cell growth","10/153","238/18888",0.0420168067226891,5.18701598286373,5.87427178300601,2.48491710417347e-05,0.00627635017814806,0.00552639518402735,"9201/81565/3275/6285/10371/7869/9037/57556/80031/6456",10
"9","Ast_ac","Ast_ac","GO:0010977","negative regulation of neuron projection development","8/153","146/18888",0.0547945205479452,6.76443728176202,6.31867090051636,2.52993755390039e-05,0.00627635017814806,0.00552639518402735,"1809/2670/83999/10371/7869/9037/57556/80031",8
"10","Ast_ac","Ast_ac","GO:0071526","semaphorin-plexin signaling pathway","5/153","44/18888",0.113636363636364,14.0285204991087,7.81871256941917,2.74942908277626e-05,0.00627635017814806,0.00552639518402735,"10371/7869/9037/57556/80031",5
"11","Ast_ac","Ast_ac","GO:0050768","negative regulation of neurogenesis","8/153","149/18888",0.0536912751677852,6.62824055796815,6.23293986550168,2.92850626104374e-05,0.00627635017814806,0.00552639518402735,"23500/3400/3949/10371/7869/9037/57556/80031",8
"12","Ast_ac","Ast_ac","GO:0060560","developmental growth involved in morphogenesis","10/153","243/18888",0.0411522633744856,5.0802872589365,5.78512888653916,2.96754145538915e-05,0.00627635017814806,0.00552639518402735,"9201/81565/6285/10371/7869/9037/57556/80031/6456/3371",10
"14","Ast_ac","Ast_ac","GO:0050919","negative chemotaxis","5/153","47/18888",0.106382978723404,13.1330830204422,7.52607393242661,3.80829635789535e-05,0.00657275671997914,0.00578738439571802,"10371/7869/9037/57556/80031",5
